occ1970,occ1990dd
1,23
2,43
3,229
4,64
5,64
6,44
10,48
11,53
12,55
13,56
14,57
15,45
20,59
21,47
22,258
23,59
24,169
25,79
26,169
30,178
31,178
32,164
33,165
34,66
35,68
36,68
42,77
43,74
44,78
45,73
51,75
52,78
53,69
54,76
55,65
56,328
61,89
62,85
63,87
64,96
65,84
71,88
72,86
73,89
74,97
75,95
76,105
80,203
81,204
82,205
83,206
84,105
85,208
86,176
90,176
91,166
92,169
93,167
94,169
95,173
96,169
100,174
101,466
102,154
103,154
104,154
105,154
110,154
111,154
112,154
113,154
114,154
115,154
116,154
120,154
121,154
122,154
123,154
124,154
125,154
126,154
130,154
131,154
132,154
133,154
134,154
135,154
140,154
141,159
142,156
143,155
144,157
145,159
150,223
151,224
152,217
153,214
154,214
155,214
156,225
161,218
162,214
163,226
164,227
165,235
170,226
171,228
172,233
173,235
174,163
175,187
180,199
181,183
182,193
183,185
184,195
185,186
190,188
191,189
192,13
193,198
194,194
195,22
196,59
201,22
202,7
203,28
205,29
210,7
211,19
212,15
213,35
215,36
216,18
220,22
221,829
222,22
223,22
224,22
225,33
226,823
230,22
231,13
233,13
235,14
240,14
245,22
246,22
260,256
261,274
262,283
264,277
265,253
266,277
270,254
271,255
280,274
281,274
282,274
283,275
284,275
285,274
296,274
301,383
303,344
305,337
310,276
311,389
312,303
313,378
314,275
315,359
320,316
321,376
323,373
325,335
326,375
330,329
331,355
332,346
333,357
334,366
341,344
342,344
343,308
344,347
345,385
350,308
355,347
360,338
361,354
362,384
363,254
364,319
370,313
371,313
372,313
374,364
375,386
376,313
381,365
382,387
383,357
384,349
385,348
390,318
391,315
392,368
394,389
395,389
396,389
401,668
402,687
403,549
404,643
405,679
410,563
411,563
412,594
413,657
415,567
416,567
420,563
421,588
422,736
423,734
424,848
425,185
426,678
430,575
431,575
433,577
434,734
435,649
436,844
440,599
441,628
442,713
443,658
444,669
445,589
446,724
450,496
452,799
453,535
454,703
455,824
456,824
461,637
462,637
470,534
471,508
472,514
473,505
474,505
475,525
480,516
481,516
482,526
483,519
484,533
485,523
486,549
491,544
492,549
495,549
501,769
502,544
503,719
504,719
505,467
506,677
510,579
511,579
512,583
514,645
515,734
516,535
520,584
521,584
522,585
523,585
525,695
530,734
531,734
533,707
534,595
535,653
536,653
540,653
542,669
543,789
545,696
546,675
550,597
551,666
552,527
554,527
560,563
561,634
562,634
563,668
571,549
572,549
575,549
580,905
586,549
601,593
602,785
603,615
604,754
605,866
610,799
611,408
612,769
613,666
614,598
615,573
620,756
621,709
622,766
623,885
624,799
625,799
626,724
630,408
631,686
633,686
634,888
635,723
636,669
640,616
641,756
642,519
643,754
644,779
645,774
650,708
651,709
652,703
653,703
656,706
660,779
661,829
662,727
663,744
664,745
665,783
666,766
670,749
671,739
672,738
673,739
674,749
680,783
681,738
690,779
692,779
694,779
695,779
696,779
701,829
703,808
704,823
705,804
706,804
710,824
711,813
712,825
713,825
714,809
715,804
726,859
740,472
750,869
751,869
752,498
753,889
754,875
755,451
760,859
761,496
762,889
763,804
764,887
770,889
780,889
785,889
796,889
801,473
802,475
806,475
821,475
822,479
823,479
824,479
846,479
901,405
902,405
903,453
910,434
911,444
912,436
913,444
914,444
915,435
916,444
921,445
922,447
923,95
924,89
925,447
926,207
931,471
932,459
933,469
934,464
935,457
940,405
941,405
942,468
943,469
944,458
945,469
950,405
952,468
953,462
954,177
960,425
961,417
962,426
963,423
964,418
965,423
976,469
980,468
981,436
982,405
983,408
984,405
986,469
991,991
